phrase,count,examples,reasons,suspected_non_name
ISSS Immigration team,1,"nding OPT Early</div><p>Hello ISSS Immigration team,</p><div>&nbsp;</div><div>Hop",greeting,TRUE
ISSS and Jordan,1,"5958)</p><p>&nbsp;</p><p>Dear ISSS and Jordan Miles,</p><p>&nbsp;</p><p>&nb",greeting,TRUE
ISSS and KSB,1," /><br /></span></p><div>Dear ISSS and KSB,</div><div>&nbsp;</div><div>H",greeting,TRUE
ISSS email holders,1,"ass=""x_x_elementToProof"">Dear ISSS email holders,</div><div class=""x_x_element",greeting,TRUE
ISSS office and,1,v>&nbsp;</div></div><div>Dear ISSS office and AU Central</div><div>&nbsp;</,greeting,TRUE
ISSS office member,1,"nbsp;</p><p>&nbsp;</p><p>Dear ISSS office member,</p><p>&nbsp;</p><p>My name i",greeting,TRUE
ISSS team at,1,"div>&nbsp;</div></div><div>Hi ISSS team at AU,</div><div>&nbsp;</div><di",greeting,TRUE
ISSSI office,1,ation</p><p>&nbsp;</p><p>Dear ISSSI office&nbsp;</p><p>&nbsp;</p><p>Plea,greeting,TRUE
In,1,"<p>Dear In,</p><p>&nbsp;</p><p>I&rsquo;m",greeting,TRUE
International Admissions Office,1," i-20</p><p>&nbsp;</p><p>Dear International Admissions Office,</p><p>I hope this message fi",greeting,TRUE
yes my ID,1,"-20</p><p>&nbsp;</p><p>Hello, yes my ID number is 5535261. I mean thi",greeting,TRUE
